name	intensity-avg	volume
Left-wm-bankssts	98.4489	2740.3
Left-wm-caudalanteriorcingulate	103.6306	3484.2
Left-wm-caudalmiddlefrontal	95.9239	7127.5
Left-wm-cuneus	90.1746	2923.0
Left-wm-entorhinal	82.3241	942.4
Left-wm-fusiform	89.2842	5763.1
Left-wm-inferiorparietal	95.1575	10279.3
Left-wm-inferiortemporal	90.8184	7050.0
Left-wm-isthmuscingulate	99.318	3997.3
Left-wm-lateraloccipital	91.9448	11181.9
Left-wm-lateralorbitofrontal	94.1614	7327.3
Left-wm-lingual	84.7347	5420.5
Left-wm-medialorbitofrontal	92.6127	4294.9
Left-wm-middletemporal	90.8374	6137.2
Left-wm-parahippocampal	87.6598	1538.5
Left-wm-paracentral	96.5119	4141.8
Left-wm-parsopercularis	98.1652	3330.4
Left-wm-parsorbitalis	82.5074	1087.7
Left-wm-parstriangularis	95.3787	3262.5
Left-wm-pericalcarine	82.7342	3058.5
Left-wm-postcentral	90.6309	7137.3
Left-wm-posteriorcingulate	102.4731	4377.2
Left-wm-precentral	95.3784	13789.9
Left-wm-precuneus	97.9414	9685.4
Left-wm-rostralanteriorcingulate	97.3159	2856.9
Left-wm-rostralmiddlefrontal	96.191	13886.0
Left-wm-superiorfrontal	92.4769	17704.0
Left-wm-superiorparietal	96.6136	13446.3
Left-wm-superiortemporal	94.399	6914.4
Left-wm-supramarginal	96.646	7092.4
Left-wm-frontalpole	82.62	343.8
Left-wm-temporalpole	78.4033	655.8
Left-wm-transversetemporal	95.6358	745.1
Left-wm-insula	96.1341	10363.6
Right-wm-bankssts	96.01	2509.7
Right-wm-caudalanteriorcingulate	100.6181	3086.6
Right-wm-caudalmiddlefrontal	95.6477	7124.6
Right-wm-cuneus	88.7543	2681.1
Right-wm-entorhinal	80.25	996.6
Right-wm-fusiform	88.4593	6312.2
Right-wm-inferiorparietal	94.8828	12515.6
Right-wm-inferiortemporal	86.9109	5138.5
Right-wm-isthmuscingulate	99.271	3393.8
Right-wm-lateraloccipital	90.5064	9853.7
Right-wm-lateralorbitofrontal	93.924	7427.4
Right-wm-lingual	84.9915	5379.7
Right-wm-medialorbitofrontal	91.9121	3870.1
Right-wm-middletemporal	85.7012	5774.7
Right-wm-parahippocampal	89.3922	1846.8
Right-wm-paracentral	97.2031	5051.5
Right-wm-parsopercularis	97.0949	3522.5
Right-wm-parsorbitalis	83.3147	1580.3
Right-wm-parstriangularis	90.6592	3738.1
Right-wm-pericalcarine	85.1839	2775.6
Right-wm-postcentral	89.2646	6683.3
Right-wm-posteriorcingulate	100.5769	3849.9
Right-wm-precentral	92.9061	12148.1
Right-wm-precuneus	97.095	10865.3
Right-wm-rostralanteriorcingulate	98.3911	2071.8
Right-wm-rostralmiddlefrontal	93.654	13475.0
Right-wm-superiorfrontal	93.7213	19676.5
Right-wm-superiorparietal	94.9822	13591.3
Right-wm-superiortemporal	87.937	6004.0
Right-wm-supramarginal	97.0896	7373.7
Right-wm-frontalpole	84.7576	434.8
Right-wm-temporalpole	78.9517	711.7
Right-wm-transversetemporal	98.0636	809.3
Right-wm-insula	94.7181	9642.7
Left-UnsegmentedWhiteMatter	103.3574	28733.2
Right-UnsegmentedWhiteMatter	102.5816	28685.7
