name	intensity-avg	volume
Left-wm-bankssts	93.0788	2395.7
Left-wm-caudalanteriorcingulate	102.5708	3487.6
Left-wm-caudalmiddlefrontal	95.1402	7755.7
Left-wm-cuneus	91.9455	3776.5
Left-wm-entorhinal	82.121	1232.0
Left-wm-fusiform	89.5848	6868.2
Left-wm-inferiorparietal	96.0227	11125.7
Left-wm-inferiortemporal	89.1253	7319.6
Left-wm-isthmuscingulate	98.9954	4774.3
Left-wm-lateraloccipital	88.6103	12898.8
Left-wm-lateralorbitofrontal	95.4568	8434.4
Left-wm-lingual	85.7808	6151.5
Left-wm-medialorbitofrontal	95.905	4868.8
Left-wm-middletemporal	89.4338	6917.7
Left-wm-parahippocampal	87.8375	1645.4
Left-wm-paracentral	97.139	4825.9
Left-wm-parsopercularis	97.2369	4872.1
Left-wm-parsorbitalis	86.1642	1266.3
Left-wm-parstriangularis	95.2094	3342.2
Left-wm-pericalcarine	89.2969	4968.0
Left-wm-postcentral	91.617	9062.5
Left-wm-posteriorcingulate	100.6185	5833.9
Left-wm-precentral	95.9486	17322.9
Left-wm-precuneus	97.5748	11814.9
Left-wm-rostralanteriorcingulate	95.3756	2725.7
Left-wm-rostralmiddlefrontal	96.8383	14926.9
Left-wm-superiorfrontal	94.5955	23056.6
Left-wm-superiorparietal	97.5506	15022.1
Left-wm-superiortemporal	96.0318	12898.1
Left-wm-supramarginal	97.0205	12601.0
Left-wm-frontalpole	85.7649	296.9
Left-wm-temporalpole	77.9138	738.5
Left-wm-transversetemporal	94.6306	1178.0
Left-wm-insula	94.7805	11045.7
Right-wm-bankssts	94.2384	2104.1
Right-wm-caudalanteriorcingulate	99.8566	2955.0
Right-wm-caudalmiddlefrontal	95.3485	7141.6
Right-wm-cuneus	92.1124	3791.9
Right-wm-entorhinal	79.7111	1110.2
Right-wm-fusiform	89.9286	6943.1
Right-wm-inferiorparietal	96.0823	14179.2
Right-wm-inferiortemporal	88.171	7270.4
Right-wm-isthmuscingulate	100.784	3832.0
Right-wm-lateraloccipital	89.488	11159.6
Right-wm-lateralorbitofrontal	94.9604	8930.6
Right-wm-lingual	87.9634	5967.3
Right-wm-medialorbitofrontal	95.0223	4612.2
Right-wm-middletemporal	88.8703	7912.4
Right-wm-parahippocampal	89.2631	1621.0
Right-wm-paracentral	97.4455	6460.5
Right-wm-parsopercularis	97.7764	4520.2
Right-wm-parsorbitalis	89.3821	1738.0
Right-wm-parstriangularis	94.3833	4583.1
Right-wm-pericalcarine	89.3669	4062.9
Right-wm-postcentral	91.2567	8874.9
Right-wm-posteriorcingulate	100.2673	5112.0
Right-wm-precentral	94.7849	16543.6
Right-wm-precuneus	98.5578	13555.0
Right-wm-rostralanteriorcingulate	100.0366	2393.6
Right-wm-rostralmiddlefrontal	95.6111	16111.3
Right-wm-superiorfrontal	94.946	24796.4
Right-wm-superiorparietal	97.0877	14136.5
Right-wm-superiortemporal	92.1052	8920.0
Right-wm-supramarginal	97.2464	10653.7
Right-wm-frontalpole	83.8428	369.7
Right-wm-temporalpole	76.4343	711.3
Right-wm-transversetemporal	91.4459	683.5
Right-wm-insula	94.431	10782.7
Left-UnsegmentedWhiteMatter	101.2233	38420.5
Right-UnsegmentedWhiteMatter	101.6191	39689.8
