name	intensity-avg	volume
Left-wm-bankssts	98.1743	2890.6
Left-wm-caudalanteriorcingulate	103.8408	2023.8
Left-wm-caudalmiddlefrontal	100.7872	5557.1
Left-wm-cuneus	93.9809	2586.6
Left-wm-entorhinal	79.0668	481.7
Left-wm-fusiform	91.8998	6467.2
Left-wm-inferiorparietal	99.6404	9614.8
Left-wm-inferiortemporal	89.3008	6039.4
Left-wm-isthmuscingulate	100.0124	3371.0
Left-wm-lateraloccipital	92.2623	8601.7
Left-wm-lateralorbitofrontal	95.2065	6058.8
Left-wm-lingual	88.3966	4990.6
Left-wm-medialorbitofrontal	94.1625	3797.8
Left-wm-middletemporal	88.4509	5150.4
Left-wm-parahippocampal	87.9092	1524.6
Left-wm-paracentral	94.6834	3148.6
Left-wm-parsopercularis	98.9252	3271.7
Left-wm-parsorbitalis	86.469	856.3
Left-wm-parstriangularis	98.6333	2744.6
Left-wm-pericalcarine	90.7338	3031.4
Left-wm-postcentral	92.2384	7281.9
Left-wm-posteriorcingulate	102.9892	4124.1
Left-wm-precentral	95.1855	11817.8
Left-wm-precuneus	98.9204	8528.3
Left-wm-rostralanteriorcingulate	103.7812	1660.6
Left-wm-rostralmiddlefrontal	97.728	10025.9
Left-wm-superiorfrontal	94.1934	15274.6
Left-wm-superiorparietal	98.3608	10589.8
Left-wm-superiortemporal	94.462	6726.6
Left-wm-supramarginal	99.3312	8733.0
Left-wm-frontalpole	87.0112	254.9
Left-wm-temporalpole	74.7127	485.8
Left-wm-transversetemporal	97.1066	692.5
Left-wm-insula	97.6858	8653.9
Right-wm-bankssts	98.9312	3092.2
Right-wm-caudalanteriorcingulate	102.1129	2185.0
Right-wm-caudalmiddlefrontal	95.6138	5377.6
Right-wm-cuneus	93.4281	2282.0
Right-wm-entorhinal	77.2693	546.3
Right-wm-fusiform	89.3309	5646.5
Right-wm-inferiorparietal	97.4951	10569.6
Right-wm-inferiortemporal	87.6314	5781.1
Right-wm-isthmuscingulate	100.9164	3441.3
Right-wm-lateraloccipital	90.3473	9152.9
Right-wm-lateralorbitofrontal	96.9485	5641.9
Right-wm-lingual	86.9056	4567.4
Right-wm-medialorbitofrontal	95.3731	3123.0
Right-wm-middletemporal	88.7552	5638.6
Right-wm-parahippocampal	88.654	1635.6
Right-wm-paracentral	96.0778	3811.2
Right-wm-parsopercularis	98.8137	2637.1
Right-wm-parsorbitalis	86.2936	1052.2
Right-wm-parstriangularis	94.836	2893.2
Right-wm-pericalcarine	91.672	2779.7
Right-wm-postcentral	90.9204	7230.2
Right-wm-posteriorcingulate	102.2456	3678.7
Right-wm-precentral	93.6273	12870.9
Right-wm-precuneus	99.1645	8344.7
Right-wm-rostralanteriorcingulate	105.112	1940.3
Right-wm-rostralmiddlefrontal	96.2282	10100.2
Right-wm-superiorfrontal	93.3688	15554.8
Right-wm-superiorparietal	95.5165	9258.6
Right-wm-superiortemporal	90.9196	5703.7
Right-wm-supramarginal	97.607	8664.4
Right-wm-frontalpole	87.0	296.8
Right-wm-temporalpole	77.1804	551.7
Right-wm-transversetemporal	93.9427	520.9
Right-wm-insula	95.8109	8717.7
Left-UnsegmentedWhiteMatter	104.1875	24971.8
Right-UnsegmentedWhiteMatter	103.8703	25443.7
